Job Class,Percentage
Management,6.1,https://www.thebalancecareers.com/management-skills-list-2062427
Business and Financial operations,5,https://www.tenfold.com/what-is/what-are-the-business-operations-of-a-company/
Computer and Mathematical,2.7,https://www.livecareer.com/career/advice/jobs/math-computer-science
Architecture and Engineering,1.7,https://study.com/articles/Architectural_Engineers_Job_Description_and_Requirements_for_a_Career_in_Architectural_Engineering.html
"Life, Physical and Social Science",0.9,https://www.sciencebuddies.org/science-engineering-careers
Community and Social Service,1.6,https://study.com/articles/Community_Services_Worker_Job_Description_Duties_and_Requirements.html
Legal,0.8,https://www.prospects.ac.uk/jobs-and-work-experience/job-sectors/law-sector/law-careers
"Education, training and library",6.1,https://www.prospects.ac.uk/careers-advice/what-can-i-do-with-my-degree/education
"Arts, design, entertainment, sports and media",1.7,https://www.bls.gov/oes/current/oes270000.htm
Healthcare practioners and technical,5.5,https://www.bls.gov/oes/current/oes290000.htm
Healthcare support,2.8,https://www.healthcareers.nhs.uk/Explore-roles/wider-healthcare-team/roles-wider-healthcare-team/clinical-support-staff/healthcare-assistant
Protective service,2.3,https://www.bls.gov/ooh/protective-service/home.htm
Food preparation and serving,8.3,https://myfoodrecruiter.com/
Building and grounds cleaning and maintenance,3.7,https://www.governmentjobs.com/jobs?keyword=Building%20%26%20Grounds%20Cleaning%20and%20Maintenance
Personal care and service,4,https://www.bls.gov/ooh/personal-care-and-service/home.htm
Sales,10.2,https://www.monster.co.uk/career-advice/article/what-qualifications-are-important-in-sales
Office and administrative support,15.1,https://hiring.monster.com/hr/hr-best-practices/recruiting-hiring-advice/job-descriptions/office-and-administrative-support-workers-job-description-sample.aspx
"Farming, fishing and forestry",0.6,https://www.usa.gov/farming-fishing-forestry-careers
Construction and extraction,4.3,https://datausa.io/profile/soc/470000/
"Installation, maintenance and repair",3.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm
Production,6.1,https://www.bls.gov/ooh/Production/home.htm
Transportation and material moving,6.5,https://www.bls.gov/ooh/Transportation-and-Material-Moving/home.htm
Total,99.8
